Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,Open,High,Low,Close,Adj Close,Volume,Netto_Position_NonCom,Netto_Position_Com,Totall_diff,Median_Total_diff,Median_Total_diff_Change,Median_Close_Price,Median_Close_Trend,RSI,Median_RSI
EURO FX - CHICAGO MERCANTILE EXCHANGE,170523,2017-05-23,99741,CME ,0,99,449360,175032,110187,14881,190524,272094,380437,397162,68923,52198,449360,175032,110187,14881,190524,272094,380437,397162,68923,52198,0,0,0,0,0,0,0,0,0,0,17701.0,10798.0,-16443.0,559.0,4118.0,35737.0,15475.0,19853.0,2226.0,-2152.0,100,39.0,24.5,3.3,42.4,60.6,84.7,88.4,15.3,11.6,100,39.0,24.5,3.3,42.4,60.6,84.7,88.4,15.3,11.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266,97,71,48,69,65,183,167,266,97,71,48,69,65,183,167,0,0,0,0,0,0,0,0,25.4,41.1,34.7,49.4,25.1,40.6,34.4,48.7,25.4,41.1,34.7,49.4,25.1,40.6,34.4,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.123709201812744,1.1266716718673706,1.1196328401565552,1.123885989189148,1.123885989189148,0.0,64845,-81570,16725,-1646.0,789.5,1.0918350219726562,1,85.22882131272353,75.0684235388426
EURO FX - CHICAGO MERCANTILE EXCHANGE,170530,2017-05-30,99741,CME ,0,99,453280,176226,103357,17221,185792,279432,379239,400010,74041,53270,453280,176226,103357,17221,185792,279432,379239,400010,74041,53270,0,0,0,0,0,0,0,0,0,0,3920.0,1194.0,-6830.0,2340.0,-4732.0,7338.0,-1198.0,2848.0,5118.0,1072.0,100,38.9,22.8,3.8,41.0,61.6,83.7,88.2,16.3,11.8,100,38.9,22.8,3.8,41.0,61.6,83.7,88.2,16.3,11.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254,94,64,47,66,66,177,161,254,94,64,47,66,66,177,161,0,0,0,0,0,0,0,0,24.7,43.1,34.2,50.6,24.4,42.6,33.9,49.7,24.7,43.1,34.2,50.6,24.4,42.6,33.9,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1129412651062012,1.1201595067977903,1.1110740900039673,1.1129041910171509,1.1129041910171509,0.0,72869,-93640,20771,-1063.0,583.0,1.0954769253730774,1,86.4375864631399,79.52249548923558
EURO FX - CHICAGO MERCANTILE EXCHANGE,170606,2017-06-06,99741,CME ,0,99,447178,164889,90880,23324,188042,279047,376255,393251,70923,53927,447178,164889,90880,23324,188042,279047,376255,393251,70923,53927,0,0,0,0,0,0,0,0,0,0,-6102.0,-11337.0,-12477.0,6103.0,2250.0,-385.0,-2984.0,-6759.0,-3118.0,657.0,100,36.9,20.3,5.2,42.1,62.4,84.1,87.9,15.9,12.1,100,36.9,20.3,5.2,42.1,62.4,84.1,87.9,15.9,12.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,88,63,54,67,65,179,159,250,88,63,54,67,65,179,159,0,0,0,0,0,0,0,0,25.0,44.9,34.9,51.8,24.8,44.4,34.7,51.0,25.0,44.9,34.9,51.8,24.8,44.4,34.7,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.125821828842163,1.1279042959213257,1.1241259574890137,1.1256824731826782,1.1256824731826782,0.0,74009,-91005,16996,4987.5,6050.5,1.1055406332015991,1,89.13231509343149,84.54773898169103
EURO FX - CHICAGO MERCANTILE EXCHANGE,170613,2017-06-13,99741,CME ,0,99,474300,164227,85174,24390,211353,301281,399970,410845,74330,63455,474300,164227,85174,24390,211353,301281,399970,410845,74330,63455,0,0,0,0,0,0,0,0,0,0,27122.0,-662.0,-5706.0,1066.0,23311.0,22234.0,23715.0,17594.0,3407.0,9528.0,100,34.6,18.0,5.1,44.6,63.5,84.3,86.6,15.7,13.4,100,34.6,18.0,5.1,44.6,63.5,84.3,86.6,15.7,13.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,84,59,51,64,64,175,150,236,84,59,51,64,64,175,150,0,0,0,0,0,0,0,0,25.0,45.0,35.0,52.2,23.7,42.1,32.9,48.6,25.0,45.0,35.0,52.2,23.7,42.1,32.9,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1199086904525757,1.1225234270095823,1.1185808181762695,1.1196202039718628,1.1196202039718628,0.0,79053,-89928,10875,10837.5,5850.0,1.1162621974945068,1,100.0,85.83320388793172
EURO FX - CHICAGO MERCANTILE EXCHANGE,170620,2017-06-20,99741,CME ,0,99,379269,167245,122393,13014,132839,192994,313098,328401,66171,50868,379269,167245,122393,13014,132839,192994,313098,328401,66171,50868,0,0,0,0,0,0,0,0,0,0,-95031.0,3018.0,37219.0,-11376.0,-78514.0,-108287.0,-86872.0,-82444.0,-8159.0,-12587.0,100,44.1,32.3,3.4,35.0,50.9,82.6,86.6,17.4,13.4,100,44.1,32.3,3.4,35.0,50.9,82.6,86.6,17.4,13.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,89,64,44,58,61,167,149,242,89,64,44,58,61,167,149,0,0,0,0,0,0,0,0,25.4,27.8,34.4,38.9,25.1,27.8,33.9,38.6,25.4,27.8,34.4,38.9,25.1,27.8,33.9,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.114466905593872,1.1165997982025146,1.1120872497558594,1.1144545078277588,1.1144545078277588,0.0,44852,-60155,15303,11611.0,773.5,1.1170373558998108,1,100.0,87.78495077828569
EURO FX - CHICAGO MERCANTILE EXCHANGE,170627,2017-06-27,99741,CME ,0,99,400560,179671,120976,14420,136134,211639,330225,347035,70335,53525,400560,179671,120976,14420,136134,211639,330225,347035,70335,53525,0,0,0,0,0,0,0,0,0,0,21291.0,12426.0,-1417.0,1406.0,3295.0,18645.0,17127.0,18634.0,4164.0,2657.0,100,44.9,30.2,3.6,34.0,52.8,82.4,86.6,17.6,13.4,100,44.9,30.2,3.6,34.0,52.8,82.4,86.6,17.6,13.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247,95,62,44,57,62,171,150,247,95,62,44,57,62,171,150,0,0,0,0,0,0,0,0,24.5,28.0,32.9,41.1,24.2,28.0,32.5,40.9,24.5,28.0,32.9,41.1,24.2,28.0,32.5,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.118067979812622,1.1330161094665527,1.1180554628372192,1.118355631828308,1.118355631828308,0.0,58695,-75505,16810,13825.0,2214.0,1.1189879179000854,1,100.0,94.56615754671574
EURO FX - CHICAGO MERCANTILE EXCHANGE,170703,2017-07-03,99741,CME ,0,99,422496,185925,108461,15675,144260,244301,345860,368437,76636,54059,422496,185925,108461,15675,144260,244301,345860,368437,76636,54059,0,0,0,0,0,0,0,0,0,0,21936.0,6254.0,-12515.0,1255.0,8126.0,32662.0,15635.0,21402.0,6301.0,534.0,100,44.0,25.7,3.7,34.1,57.8,81.9,87.2,18.1,12.8,100,44.0,25.7,3.7,34.1,57.8,81.9,87.2,18.1,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,97,57,40,60,65,175,145,250,97,57,40,60,65,175,145,0,0,0,0,0,0,0,0,22.8,31.3,31.8,44.1,22.5,31.3,31.4,43.7,22.8,31.3,31.8,44.1,22.5,31.3,31.4,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1425045728683472,1.1425960063934326,1.1356925964355469,1.1423088312149048,1.1423088312149048,0.0,77464,-100041,22577,16014.0,2189.0,1.1189879179000854,0,100.0,100.0
EURO FX - CHICAGO MERCANTILE EXCHANGE,170711,2017-07-11,99741,CME ,0,99,436899,190267,106479,16654,150147,258152,357068,381285,79831,55614,436899,190267,106479,16654,150147,258152,357068,381285,79831,55614,0,0,0,0,0,0,0,0,0,0,14403.0,4342.0,-1982.0,979.0,5887.0,13851.0,11208.0,12848.0,3195.0,1555.0,100,43.5,24.4,3.8,34.4,59.1,81.7,87.3,18.3,12.7,100,43.5,24.4,3.8,34.4,59.1,81.7,87.3,18.3,12.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248,92,57,45,67,67,181,148,248,92,57,45,67,67,181,148,0,0,0,0,0,0,0,0,21.6,33.0,31.5,45.9,21.3,32.9,31.2,45.3,21.6,33.0,31.5,45.9,21.3,32.9,31.2,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",,,,1.1448712944984436,,,83788,-108005,24217,16767.5,753.5,,0,100.0,100.0
EURO FX - CHICAGO MERCANTILE EXCHANGE,170718,2017-07-18,99741,CME ,0,99,446259,199540,108219,15560,150114,268566,365214,392345,81045,53914,446259,199540,108219,15560,150114,268566,365214,392345,81045,53914,0,0,0,0,0,0,0,0,0,0,9360.0,9273.0,1740.0,-1094.0,-33.0,10414.0,8146.0,11060.0,1214.0,-1700.0,100,44.7,24.3,3.5,33.6,60.2,81.8,87.9,18.2,12.1,100,44.7,24.3,3.5,33.6,60.2,81.8,87.9,18.2,12.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247,96,54,42,64,66,177,146,247,96,54,42,64,66,177,146,0,0,0,0,0,0,0,0,22.7,33.8,33.4,47.3,22.4,33.4,33.0,46.6,22.7,33.8,33.4,47.3,22.4,33.4,33.0,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1473416090011597,1.1584800481796265,1.1472363471984863,1.1474337577819824,1.1474337577819824,0.0,91321,-118452,27131,16903.0,135.5,,0,100.0,100.0
EURO FX - CHICAGO MERCANTILE EXCHANGE,170725,2017-07-25,99741,CME ,0,99,449086,197656,106814,16205,155560,271095,369421,394114,79665,54972,449086,197656,106814,16205,155560,271095,369421,394114,79665,54972,0,0,0,0,0,0,0,0,0,0,2827.0,-1884.0,-1405.0,645.0,5446.0,2529.0,4207.0,1769.0,-1380.0,1058.0,100,44.0,23.8,3.6,34.6,60.4,82.3,87.8,17.7,12.2,100,44.0,23.8,3.6,34.6,60.4,82.3,87.8,17.7,12.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,102,58,37,65,70,183,150,259,102,58,37,65,70,183,150,0,0,0,0,0,0,0,0,20.6,34.3,30.5,47.6,20.2,33.6,30.0,46.5,20.6,34.3,30.5,47.6,20.2,33.6,30.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF EUR 125,000)",1.1638869047164917,1.1706860065460205,1.1631559133529663,1.1638869047164917,1.1638869047164917,0.0,90842,-115535,24693,18883.5,1980.5,,0,100.0,100.0
